cusno,gender,age,region,trans_id,date,day,product_20,product_21,price_20,price_21,quantity_20,quantity_21,time_20,time_21,amount_20,amount_21,year,month,quarter,age_group
1001,0,49,2,18859,2020-01-30 03:07:04.482448244,Thursday,20,20,19720.0,53157.50000000001,75.0,67.19999999999999,23,12,1893120.0,3572184.0,2020,1,1,50s
1001,0,49,2,31287,2020-05-24 02:47:37.965796580,Sunday,20,20,31702.0,47274.700000000004,89.0,56.699999999999996,10,11,2567862.0,2680475.49,2020,5,2,50s
1001,0,49,2,19315,2020-08-05 04:43:16.579657964,Wednesday,20,20,23162.0,15890.600000000002,25.0,21.7,22,4,718022.0,344826.02,2020,8,3,50s
1001,0,49,2,33598,2020-10-13 11:32:07.992799280,Tuesday,20,20,49701.0,35763.200000000004,79.0,34.3,3,10,2435349.0,1226677.76,2020,10,4,50s
1001,0,49,2,31124,2020-11-16 12:02:57.137713772,Monday,20,20,41243.0,24594.9,55.0,35.0,8,6,2062150.0,860821.5,2020,11,4,50s
1001,0,49,2,17435,2021-01-29 05:44:46.228622860,Friday,20,20,14199.0,46341.9,88.0,61.599999999999994,5,13,1249512.0,2854661.04,2021,1,1,50s
1001,0,49,2,28753,2021-06-02 08:26:38.559855984,Wednesday,20,20,19480.0,48163.50000000001,33.0,25.2,6,14,701280.0,1213720.2000000002,2021,6,2,50s
1001,0,49,2,36145,2021-06-13 17:47:00.162016200,Sunday,20,20,8577.0,35547.600000000006,65.0,4.8999999999999995,8,9,60039.0,174183.24000000002,2021,6,2,50s
1001,0,49,2,16507,2021-08-11 10:31:56.111611160,Wednesday,20,20,23951.0,39228.200000000004,25.0,5.6,18,12,191608.0,219677.92,2021,8,3,50s
1002,1,38,7,24100,2020-03-18 11:03:28.460846084,Wednesday,10,10,48488.0,5275.6,18.479999999999997,50.56799999999999,14,7,896058.2399999999,266776.54079999996,2020,3,1,30s
1002,1,38,7,28349,2020-09-18 08:47:14.203420340,Friday,10,10,25039.0,22960.300000000003,86.39999999999999,25.2,4,22,751170.0,578599.56,2020,9,3,30s
1002,1,38,7,46358,2021-06-08 09:52:28.514851480,Tuesday,10,10,49236.0,24167.000000000004,73.2,10.079999999999998,6,17,590832.0,243603.36,2021,6,2,30s
1002,1,38,7,15555,2021-07-27 14:50:26.462646264,Tuesday,10,10,8826.0,51596.600000000006,49.199999999999996,34.44,17,10,361866.0,1776986.904,2021,7,3,30s
1002,1,38,7,29971,2021-09-17 09:07:58.487848784,Friday,10,10,26607.0,45359.600000000006,62.4,78.11999999999999,22,11,2474451.0,3543491.952,2021,9,3,30s
1002,1,38,7,27875,2021-10-02 15:20:15.121512152,Saturday,10,10,25866.0,30797.800000000003,104.39999999999999,10.92,10,1,336258.0,336311.976,2021,10,4,30s
1002,1,38,7,23330,2021-11-12 09:03:04.698469848,Friday,10,10,30919.0,15012.800000000001,74.39999999999999,47.87999999999999,12,11,1762383.0,718812.8639999998,2021,11,4,30s
1003,1,34,7,10341,2020-02-04 05:46:12.637263726,Tuesday,10,10,34735.0,13444.2,84.0,35.279999999999994,19,22,2917740.0,474311.37599999993,2020,2,1,30s
1003,1,34,7,38602,2020-05-23 09:16:19.657965796,Saturday,10,10,24618.0,54155.200000000004,20.4,36.959999999999994,15,8,1083192.0,2001576.1919999998,2020,5,2,30s
1003,1,34,7,26963,2020-07-15 23:22:07.452745274,Wednesday,10,10,15876.0,45108.8,112.8,49.559999999999995,7,11,936684.0,2235592.128,2020,7,3,30s
1003,1,34,7,47483,2020-09-04 20:38:05.508550856,Friday,10,10,7394.0,33149.600000000006,21.599999999999998,38.63999999999999,11,6,340124.0,1280900.544,2020,9,3,30s
1003,1,34,7,17080,2020-12-04 18:05:34.833483348,Friday,10,10,41404.0,16699.100000000002,38.4,1.68,17,22,82808.0,28054.488,2020,12,4,30s
1003,1,34,7,41893,2021-03-25 17:23:57.623762376,Thursday,10,10,19223.0,40997.0,28.559999999999995,49.39199999999999,23,14,549008.8799999999,2024923.8239999996,2021,3,1,30s
1003,1,34,7,49033,2021-05-25 16:27:56.327632760,Tuesday,10,10,38864.0,36237.3,105.6,50.4,8,13,2331840.0,1826359.9200000002,2021,5,2,30s
1003,1,34,7,15676,2021-08-10 11:45:14.311431144,Tuesday,10,10,12973.0,50420.700000000004,25.2,76.44,11,7,1180543.0,3854158.308,2021,8,3,30s
1003,1,34,7,33849,2021-10-13 17:40:05.400540056,Wednesday,10,10,32551.0,51108.200000000004,67.2,76.44,23,14,2962141.0,3906710.808,2021,10,4,30s
1003,1,34,7,26110,2021-10-29 20:53:56.003600360,Friday,10,10,25557.0,28655.000000000004,94.8,84.0,5,8,2555700.0,2407020.0000000005,2021,10,4,30s
1004,0,28,9,38649,2020-01-08 10:43:18.739873987,Wednesday,30,30,2760.0,4229.5,90.0,37.099999999999994,5,13,146280.0,156914.44999999998,2020,1,1,20s
1004,0,28,9,12523,2020-03-07 10:28:46.012601260,Saturday,30,30,18579.0,22346.5,9.0,37.8,9,19,1003266.0,844697.7,2020,3,1,20s
1004,0,28,9,17151,2020-03-30 13:55:08.370837083,Monday,30,30,15419.0,28988.300000000003,5.0,6.3,16,18,138771.0,182626.29,2020,3,1,20s
1004,0,28,9,30143,2020-08-07 14:32:34.995499548,Friday,30,30,15842.0,11773.300000000001,7.0,50.4,9,22,1140624.0,593374.3200000001,2020,8,3,20s
1004,0,28,9,35947,2020-09-16 16:29:14.095409540,Wednesday,30,30,25831.0,16245.900000000001,2.0,58.8,24,13,2169804.0,955258.92,2020,9,3,20s
1004,0,28,9,49522,2020-10-10 18:42:18.253825380,Saturday,30,30,18200.0,37417.600000000006,36.0,47.599999999999994,23,18,1237600.0,1781077.76,2020,10,4,20s
1004,0,28,9,35647,2020-10-17 10:09:10.855085508,Saturday,30,30,41002.0,40372.200000000004,21.0,27.299999999999997,12,19,1599078.0,1102161.06,2020,10,4,20s
