title,keywords,publisher,users,price,author,ing,genre,viewCount,score,uploaded,reviewCount,date,free_info
내 머릿속 소드마스터,#정통#성장,로크미디어,전체이용가,100원/회차 당,괴도고구마,완결,판타지,"1,516",1.0,전체 152,전체 0,24.06.27,25장
퇴장한 악녀의 브런치 카페,#로맨스판타지#초월적존재#영혼체인지#왕족/귀족#동거물#오해물#첫사랑#능력남#다정남#짝사랑남#순정남#능력녀#다정녀#엉뚱발랄녀#로맨틱코미디,코핀커뮤니케이션즈,전체이용가,100원/회차 당,지미신,월~금 연재,로판,19.6만,9.7,전체 86,전체 344,24.06.27,0장
양치기 소년에게 납치당했습니다,#로맨스판타지#신화물#운명#성장물#다정남#왕족/귀족#대형견남#능력녀#걸크러쉬#계략녀#힐링물,다소다미디어,전체이용가,100원/회차 당,멜리타,완결,로판,139,완결,전체 149,전체 0,24.06.27,4장
벤츠 타는 마법사,#차원이동#마법사,라온이앤엠,전체이용가,100원/회차 당,정주(丁柱),완결,판타지,"5,907",7.5,전체 161,전체 8,24.06.27,26장
무한 회귀로 천마가 되다,#회귀#천재#노력#천마#무공,현나라,전체이용가,100원/회차 당,제허니, 연재,판타지,1.3만,9.8,전체 56,전체 3,24.06.27,15장
몸 잘 쓰는 천만 배우,#성장#노력#배우,로크미디어,전체이용가,100원/회차 당,이새우,완결,현판,"3,223",10.0,전체 175,전체 0,24.06.27,25장
결혼까지 할 줄은 몰랐어 [19세 완전판][외전 독점],#현대로맨스#시월드#가족물#운명#다정남#소유욕/독점욕#순정남#재벌남#카리스마남#존댓말남#외유내강#도도녀#걸크러쉬#사이다녀#맞선관계,래이니북스,19세이용가,100원/회차 당,다온향, 연재,로맨스,652,10.0,전체 9,전체 0,24.06.27,0장
오직 당신의 아래에서[개정판],#로맨스판타지#피폐물#인외존재#소유욕/독점욕#집착남#계략남#상처남#능력녀#상처녀#무심녀#기억상실#라이벌/앙숙#신파,작가컴퍼니,15세이용가,100원/회차 당,불량판다,완결,로판,48,완결,전체 138,전체 0,24.06.27,3장
엘프특공대에 구조된 인간이 너무 강함,#차원이동#복수#전쟁#먼치킨#TS#총#군인#성장,라이크노벨,전체이용가,100원/회차 당,쇼오크,매일 연재,판타지,"1,468",10.0,전체 157,전체 1,24.06.26,25장
전하지 못한 서신 [15세 개정판],#동양풍#재회물#오해물#환생물#가상시대물#첫사랑#운명#까칠남#소유욕/독점욕#왕족/귀족#후회남#냉정남#상처녀#갑을관계#신분차이,라미북스,15세이용가,100원/회차 당,은청,완결,로맨스,353,완결,전체 44,전체 0,24.06.26,4장
신대륙의 제왕,#차원이동#빙의#성장#노력#포식/흡수,문피아,전체이용가,100원/회차 당,Rovin,매일 연재,판타지,1.1만,9.6,전체 193,전체 15,24.06.26,25장
신을 죽이고 돌아왔다,#귀환#먼치킨#성장#만능#전쟁,넥스트레벨스튜디오,전체이용가,100원/회차 당,김드비,매일 연재,판타지,"8,089",9.9,전체 72,전체 80,24.06.26,15장
턴제의 마법사,#게임#천재#성장#고인물#생존#마법사#시스템#빙의,kwbooks,전체이용가,100원/회차 당,정따블, 연재,판타지,1.4만,9.7,전체 144,전체 13,24.06.26,23장
판타지 속 천재 기사로 살아가는 법,#차원이동#환생#먼치킨#천재#마검사#이능력,문피아,전체이용가,100원/회차 당,절필방지,월~금 연재,판타지,1.7만,8.5,전체 143,전체 1,24.06.26,25장
판타지 속 천재 기사로 살아가는 법,#차원이동#환생#먼치킨#천재#마검사#이능력,문피아,전체이용가,100원/회차 당,절필방지,월~금 연재,판타지,1.7만,8.5,전체 143,전체 1,24.06.26,25장
아이돌 성녀님,#차원이동물#계략녀#외유내강#드라마#로맨스판타지#가상시대물#여주판타지,kwbooks,전체이용가,100원/회차 당,모예리,수~일 연재,로판,27.2만,9.9,전체 97,전체 628,24.06.26,0장
선 넘은 비서,#현대로맨스#오해물#오피스물#까칠남#재벌남#후회남#차도남#외유내강#상처녀#냉정녀#계약관계#갑을관계#권선징악,필연매니지먼트,15세이용가,100원/회차 당,언정이,완결,로맨스,37.7만,10.0,전체 78,전체 383,24.06.26,0장
반려를 선택해 주세요,#궁정물#동양풍#짝사랑#첫사랑#왕족/귀족#다정공#능력공#짝사랑공#계략공#존댓말공#헌신공#서브공있음#능력수#명랑수#계략수,폴링인북스,15세이용가,100원/회차 당,모모피아,화~금 연재,BL,6.3만,9.1,전체 83,전체 89,24.06.26,0장
[BL] 회귀한 S급들이 왜 거기서 나와?,#회귀물#다공일수#능력수#헌터물#강공#짝사랑공#집착공#대형견공#미남공#현대물#판타지물#명랑수,kwbooks,15세이용가,100원/회차 당,해거름,완결,BL,1.1만,10.0,전체 264,전체 2,24.06.26,3장
탐련화(耽戀花),#동양풍#오해물#첫사랑#능글남#직진남#다정남#절륜남#유혹남#상처녀#다정녀#철벽녀#달달물,코핀커뮤니케이션즈,15세이용가,100원/회차 당,구다윈,완결,로맨스,164,10.0,전체 83,전체 0,24.06.26,3장
귀신에게 사랑받는 천재 배우,#방송#배우#천재#노력#성장#조력자#전문직,문피아,전체이용가,100원/회차 당,순두부정신,월~금 연재,현판,"9,834",10.0,전체 144,전체 53,24.06.26,25장
1988 레트로 게임 재벌,#회귀#빙의#경영/기업#전문직#천재#재벌#회사원,문피아,전체이용가,100원/회차 당,Guybrush,월~금 연재,현판,1.2만,10.0,전체 166,전체 0,24.06.26,21장
프롬 원 나잇 투 스캔들(From One Night to Scandal) [BL],#오메가버스#미남공#다정공#대형견공#헌신공#연하공#순정공#짝사랑공#존댓말공#능글공#집착공#다정수#상처수#능력수#연예계물,대원씨아이,15세이용가,100원/회차 당,임청순,완결,BL,561,10.0,전체 27,전체 0,24.06.26,0장
거짓말을 해봐,#현대로맨스#계약관계#계략남#정략결혼#재벌녀#재벌남#집착남,스토리야,전체이용가,100원/회차 당,둠스피로,완결,로맨스,410,완결,전체 96,전체 0,24.06.26,4장
나나웨이,#현대로맨스,신영미디어,15세이용가,100원/회차 당,킴쓰컴퍼니,완결,로맨스,"1,001",완결,전체 85,전체 0,24.06.26,3장
악녀의 아들에겐 죄가 없다[개정판],#로맨스판타지#재회물#회귀물#초월적존재#상처남#순정남#소유욕/독점욕#상처녀#능력녀#능력남#집착남#사이다녀#무심녀#걸크러쉬#애잔물,북극여우노블,전체이용가,100원/회차 당,란데인,완결,로판,80,완결,전체 145,전체 0,24.06.26,0장
빼앗을 권리,#복수물#능력남#능력녀#계약관계,알에스미디어,15세이용가,100원/회차 당,느린돌,완결,로맨스,"4,812",완결,전체 86,전체 0,24.06.26,3장
멸망할 소설의 댓글이 보인다,#빙의#먼치킨#시스템#성장#노력#아포칼립스#생존,노벨피아,전체이용가,100원/회차 당,스쿨링,완결,현판,"3,319",3.6,전체 181,전체 1,24.06.26,15장
취급주의 귀환자 목록,#레이드#귀환#깽판#먼치킨#착각#망나니#이능력,스토리튠즈,전체이용가,100원/회차 당,꾸메그린,수~일 연재,판타지,1.8만,9.9,전체 36,전체 11,24.06.25,15장
SSS급 찐따 흑마법사,#차원이동#환생#마계#마법사,북큐브네트웍스,15세이용가,100원/회차 당,유리뼈,완결,판타지,"4,402",2.1,전체 209,전체 2,24.06.25,29장
신성모독의 외신 사제가 되었다,#게임#빙의#성장#크툴루#성직자,대원씨아이,전체이용가,100원/회차 당,에온바드,월~금 연재,판타지,1.6만,10.0,전체 95,전체 90,24.06.25,20장
곧 죽을 악역 수에 빙의했지만,#현대물#차원이동물#영혼체인지#오해물#개그물#달달물#후회공#상처공#헌신공#연하공#미남공#짝사랑공#명랑수#다정수#재벌수,고렘팩토리,15세이용가,100원/회차 당,배복미,완결,BL,1.9만,10.0,전체 134,전체 26,24.06.25,3장
그 배우에게는 비밀이 있다,#현대로맨스#계약관계#능력남#순진녀,엠스토리허브,전체이용가,100원/회차 당,모브(MOB),완결,로맨스,92,완결,전체 78,전체 0,24.06.25,3장
막장 비서,#현대로맨스#사내연애#오피스물#트라우마#까칠남#상처남#소유욕/독점욕#능력남#냉정남#계약관계#갑을관계#엉뚱발랄녀#평범녀#사이다녀#로맨틱코미디,스토리위즈,15세이용가,100원/회차 당,먼나무,완결,로맨스,67.9만,9.6,전체 115,전체 731,24.06.25,0장
공개 채용 와이프,#현대로맨스#계약관계#갑을관계#오피스물#재벌남#직진남#능력녀#무심녀,알에스미디어,15세이용가,100원/회차 당,블루문,완결,로맨스,"5,669",완결,전체 83,전체 0,24.06.25,3장
카이저를 구했다,#차원이동#대체역사#전쟁,작가컴퍼니,전체이용가,100원/회차 당,레니비,완결,판타지,1.5만,10.0,전체 499,전체 0,24.06.24,25장
환생권왕,#환생#먼치킨,북큐브네트웍스,전체이용가,100원/회차 당,가화(佳樺),완결,판타지,"2,239",1.0,전체 200,전체 1,24.06.24,25장
사신회고록,#회귀#도사#무당#살수,북큐브네트웍스,전체이용가,100원/회차 당,블랙단초,완결,무협,"1,269",7.7,전체 150,전체 0,24.06.24,25장
불량짐꾼,#생존#아포칼립스,북큐브네트웍스,전체이용가,100원/회차 당,담적산,완결,현판,"2,757",완결,전체 100,전체 0,24.06.24,10장
괴이를 죽이는 공무원,#복수#회사원#생존,북큐브네트웍스,전체이용가,100원/회차 당,LeviGloomy,완결,현판,597,완결,전체 100,전체 0,24.06.24,10장
악녀를 은퇴하는 5가지 방법,#로맨스판타지#영혼체인지#빙의물#다정남#순정남#능력남#걸크러쉬#사이다녀#상처녀#애잔물,에피루스,15세이용가,100원/회차 당,서뉴,완결,로판,"5,815",10.0,전체 272,전체 9,24.06.24,3장
0골드로 시작하는 악녀 생활,#로맨스판타지#빙의물#여주판타지#성장물#역하렘#능력녀#걸크러쉬#악녀#뇌섹녀#사이다녀#전문직물#카리스마남#집착남#다정남#계략녀,"NHN, 라비앙로즈",전체이용가,100원/회차 당,겨울잎,매일 연재,로판,246만,9.8,전체 103,"전체 1,861",24.06.24,0장
[BL] 잡아먹히는 건 양 아닌 늑대,#가이드버스#미스터리#판타지물#금단의관계#나이차커플#강공#다정공#미인공#계략공#상처공#순정공#연하공#존댓말공#집착공#능력수,BLYNUE블리뉴,15세이용가,100원/회차 당,강여로,완결,BL,"1,008",완결,전체 176,전체 0,24.06.24,3장
스파이 능력으로 글로벌 톱배우,#환생#방송#배우#매니저#재벌#천재#먼치킨#전문직#경영/기업,문피아,전체이용가,100원/회차 당,풀드로우,매일 연재,현판,4.3만,10.0,전체 201,전체 22,24.06.24,23장
망나니 투자자가 힐링캠프를 한다,#환생#회귀#작가#방송#복수#착각#천재#조력자,문피아,전체이용가,100원/회차 당,글드림,월~금 연재,현판,3.9만,10.0,전체 178,전체 3,24.06.24,25장
해를 세다,#배우#성장#천재#전문직,문피아,전체이용가,100원/회차 당,황금하르방,월~금 연재,현판,"7,651",9.9,전체 182,전체 17,24.06.24,30장
새벽이 머문 자리,#동양풍#궁정로맨스#타임슬립#운명#능력녀#다정남#순정남#성장물#드라마,페퍼민트,15세이용가,100원/회차 당,서은오,완결,로맨스,4.8만,9.3,전체 76,전체 77,24.06.24,3장
대표님의 목줄,#현대로맨스#나쁜남자#재벌남#능력녀#상처녀#걸크러쉬#원나잇#사내연애#로맨틱코미디,와이엠북스,15세이용가,100원/회차 당,로상무,완결,로맨스,12.7만,8.9,전체 90,전체 164,24.06.24,5장
시한부는 계약결혼을 제안한다,#로맨스판타지#가상시대물#오해물#첫사랑#삼각관계#계약관계#후회남#까칠남#츤데레남#냉정남#순정녀#짝사랑녀#무심녀#상처녀#잔잔물,서울미디어코믹스,전체이용가,100원/회차 당,운명님,완결,로판,"1,538",10.0,전체 140,전체 0,24.06.24,5장
미친 재회,#현대로맨스#재회물#복수물#첫사랑#사내연애#소유욕/독점욕#후회남#능력남#상처남#상처녀,작가컴퍼니,15세이용가,100원/회차 당,정가령,완결,로맨스,"1,075",완결,전체 77,전체 0,24.06.24,5장
짐승의 속삭임,#현대로맨스#계략남#유혹남#후회남#상처녀#소유욕/독점욕,작가컴퍼니,15세이용가,100원/회차 당,청화담,완결,로맨스,"2,152",완결,전체 108,전체 0,24.06.24,5장
남편의 욕망,#재회물#첫사랑#소유욕/독점욕#집착남#절륜남#후회남#동정남#능력녀#순정녀#상처녀#계약관계#트라우마,고렘팩토리,15세이용가,100원/회차 당,김싹,완결,로맨스,66.4만,9.9,전체 73,전체 342,24.06.23,0장
비밀 임신 [삽화본][19세 완전판][외전 독점],#현대로맨스#복수물#시월드#신데렐라#권선징악#사내연애#갑을관계#몸정>맘정#소유욕/독점욕#능력남#재벌남#직진남#절륜남#사이다녀#철벽녀,피플앤스토리,19세이용가,100원/회차 당,문정민,완결,로맨스,6.1만,10.0,전체 101,전체 47,24.06.23,3장
비밀 임신 [외전 독점],#철벽녀#현대로맨스#복수물#시월드#신데렐라#권선징악#사내연애#갑을관계#몸정>맘정#소유욕/독점욕#능력남#재벌남#직진남#절륜남#사이다녀,피플앤스토리,15세이용가,100원/회차 당,문정민,완결,로맨스,5.6만,10.0,전체 94,전체 25,24.06.23,3장
19년지기의 하룻밤 [19세 완전판],#친구>연인#소유욕/독점욕#츤데레남#직진남#유혹남#대형견남#달달물,북팔,19세이용가,100원/회차 당,쩐퀸,완결,로맨스,11.7만,9.8,전체 135,전체 30,24.06.23,3장
19년지기의 하룻밤,#친구>연인#소유욕/독점욕#츤데레남#직진남#유혹남#대형견남#달달물,북팔,15세이용가,100원/회차 당,쩐퀸,완결,로맨스,11.2만,10.0,전체 120,전체 59,24.06.23,3장
접근 [19세 완전판],#현대로맨스#피폐물#나쁜남자#상처남#소유욕/독점욕#직진남#오만남#집착남#외유내강#사이다녀#계약관계#권선징악,연담,19세이용가,100원/회차 당,시월이,완결,로맨스,30.4만,9.9,전체 79,전체 912,24.06.22,0장
접근,#현대로맨스#피폐물#나쁜남자#상처남#소유욕/독점욕#직진남#오만남#집착남#외유내강#사이다녀#계약관계#권선징악,연담,15세이용가,100원/회차 당,시월이,완결,로맨스,71.1만,9.7,전체 77,전체 745,24.06.22,0장
옆집 고양이님의 애착집사가 되었습니다,#수인물#동거물#성장물#우연한만남#트라우마#까칠공#상처공#츤데레공#미인공#다정수#외유내강수#순진수#갑을관계#달달물#힐링물,스튜디오예스원,15세이용가,100원/회차 당,보숑,완결,BL,19.3만,9.9,전체 90,전체 336,24.06.22,0장
불순한 구원,#몸정>맘정#계약관계#갑을관계#나쁜남자#신파,북팔,15세이용가,100원/회차 당,양박진선,완결,로맨스,"5,376",10.0,전체 76,전체 0,24.06.22,5장
잔혹한 덫,#갑을관계#몸정>맘정#소유욕/독점욕#오만남#집착남#후회남#상처녀#베이비메신저,북팔,15세이용가,100원/회차 당,청화담,완결,로맨스,1.6만,8.3,전체 119,전체 2,24.06.22,5장
오컬트 로맨틱 코미디!,#현대물#추리/수사물#미스터리#로맨틱코미디#드라마#외국인/혼혈#첫사랑#능글공#미남공#짝사랑공#능력수#까칠수#개그물,잉크어스,15세이용가,100원/회차 당,두당,완결,BL,323,10.0,전체 131,전체 0,24.06.21,3장
스틸랜드,#레이드#먼치킨#시스템#천재#노력#성장#아티팩트#대장장이/생산직#이능력#만능,마야마루출판사,전체이용가,100원/회차 당,준느,매일 연재,판타지,1.1만,10.0,전체 62,전체 41,24.06.21,15장
악녀의 회귀자 갱생 플랜,#로맨스판타지#회귀물#다정남#상처남#소유욕/독점욕#자상녀#엉뚱발랄녀#외유내강#걸크러쉬#직진녀#치유물#드라마#힐링물#권선징악,연담,전체이용가,100원/회차 당,김코끼리,매일 연재,로판,123.6만,9.8,전체 108,전체 974,24.06.21,0장
혈마환동,#먼치킨#마교#지존#복수#성장,제이플미디어,전체이용가,100원/회차 당,주문향,매일 연재,무협,3.5만,9.4,전체 62,전체 6,24.06.21,20장
말라죽어도 너는,#현대로맨스#피폐물#동거물#신파#조직/암흑가#소유욕/독점욕#몸정>맘정#카리스마남#집착남#나쁜남자#후회남#순정녀#상처녀,로망로즈,15세이용가,100원/회차 당,솔해,완결,로맨스,"5,749",10.0,전체 84,전체 1,24.06.21,4장
좌천된 재벌 3세는 역대급 축구 단장,#스포츠#축구#경영/기업#전문직,라온이앤엠,전체이용가,100원/회차 당,끄적이다, 연재,현판,1.2만,10.0,전체 210,전체 1,24.06.21,25장
지독한 너,#현대로맨스#동거물#달달물#애잔물#소유욕/독점욕#첫사랑#신분차이#연예계물#집착남#유혹남#짝사랑남#순정녀#평범녀,romantique,15세이용가,100원/회차 당,권다유,완결,로맨스,285,완결,전체 34,전체 0,24.06.21,2장
이혼의 역설,#현대로맨스#로맨틱코미디#재회물#정략결혼#오해물#재벌남#순정남#무심남#상처녀#후회녀,romantique,15세이용가,100원/회차 당,마법사멀린,완결,로맨스,"1,080",완결,전체 54,전체 1,24.06.21,4장
키스 말고 그거,#현대로맨스#달달물#로맨틱코미디#친구>연인#계략남#절륜남#평범녀,romantique,15세이용가,100원/회차 당,연민정(레드퀸),완결,로맨스,191,완결,전체 40,전체 0,24.06.21,2장
병약한 악역에 빙의한 건에 대해 [BL],#현대물#다정공#재벌공#집착공#능글공#다정수#명랑수,코핀커뮤니케이션즈,15세이용가,100원/회차 당,햄스감자,완결,BL,5.2만,10.0,전체 205,전체 34,24.06.21,3장
내 동생은 연기 천재!,#육아#천재#성장#배우#매니저,스토리위즈,전체이용가,100원/회차 당,신림서점,매일 연재,현판,2.7만,9.7,전체 52,전체 45,24.06.21,15장
