title,keywords,publisher,users,price,author,ing,genre,viewCount,score,uploaded,reviewCount,date,free_info
천의무봉,#퓨전#먼치킨#노력#성장#아티팩트#정파#명문세가,로크미디어,전체이용가,100원/회차 당,태규,완결,무협,62.5만,8.5,전체 173,전체 186,19.03.20,25장
천만번 환생한 공작가 망나니[완결],#차원이동#시스템#환생#먼치킨#천재#정통#성장#망나니#빙의#왕족/귀족#이능력,kwbooks,전체이용가,100원/회차 당,멍멍킴,완결,판타지,167.9만,9.4,전체 179,"전체 1,821",19.03.18,25장
5초 후의 게시판이 보여![완결],#스포츠#시스템#천재#노력#성장#야구,kwbooks,전체이용가,100원/회차 당,Walther,완결,현판,83.6만,9.8,전체 275,"전체 1,135",19.03.15,28장
악역의 딸에 빙의했습니다,#로맨스판타지,교보문고,전체이용가,100원/회차 당,티카티카,완결,로판,30.8만,10.0,전체 181,전체 256,19.03.15,5장
반반 복수 많이,#로맨스판타지,교보문고,전체이용가,100원/회차 당,이은솔,완결,로판,19.4만,9.7,전체 90,전체 245,19.03.14,5장
폭군과 현실 남매,#로맨스판타지,교보문고,전체이용가,100원/회차 당,윤희사,완결,로판,36.8만,10.0,전체 93,전체 707,19.03.14,5장
거짓말쟁이에게 키스를 [단독 선공개],#원나잇#가상시대물#전문직물#첫사랑#능글남#다정남#능력남#계략남#직진남#능력녀#철벽녀#권선징악,코핀커뮤니케이션즈,15세이용가,100원/회차 당,홍서혜,완결,로판,6.8만,9.9,전체 74,전체 184,19.03.14,5장
"이런 사랑, 다시 할 수 있을까",#현대로맨스#까칠남#상처남#재벌남#능력남#오만남#외유내강#털털녀#나이차커플#갑을관계#로맨틱코미디,코핀커뮤니케이션즈,15세이용가,100원/회차 당,윤재인,완결,로맨스,54.3만,9.9,전체 66,"전체 3,078",19.03.13,3장
온 - The Whole,#정통#전쟁#영웅/신화#노력#성장#조력자#신#이종족#이능력#초능력#무공,판시아,15세이용가,100원/회차 당,이우혁,"월, 수, 금 연재",판타지,228.6만,9.7,전체 634,"전체 7,420",19.03.11,0장
시작부터 대마법사 [완결],#회귀#먼치킨#마법사,제이플미디어,전체이용가,100원/회차 당,진범,완결,판타지,360.9만,9.6,전체 183,"전체 2,170",19.03.11,15장
그놈이 돌아왔다 [단독 선공개],#현대로맨스#재회물#첫사랑#순정남#후회남#능력남#직진남#능력녀#도도녀#후회녀,코핀커뮤니케이션즈,15세이용가,100원/회차 당,체리,완결,로맨스,400.7만,9.8,전체 98,"전체 8,728",19.03.09,2장
수호룡과 거짓의 황녀,#로맨스판타지#성장물#여주판타지#다정남#능력녀#걸크러쉬#사이다녀#드라마,kwbooks,전체이용가,100원/회차 당,Havoc,완결,로판,394.3만,10.0,전체 205,"전체 9,770",19.03.08,8장
Mr. 언터처블[완결],#스포츠#회귀#천재#노력#성장#고인물#야구,kwbooks,전체이용가,100원/회차 당,한지훈,완결,현판,112만,9.4,전체 171,전체 606,19.03.08,26장
플립 [BL],#가이드버스#현대물#판타지물#미남공#달달물#강공#집착공#연하공#까칠공#재벌공#츤데레공#다정수#외유내강수#할리킹#계약관계,디앤씨미디어,15세이용가,100원/회차 당,미즈하라,완결,BL,18.6만,10.0,전체 65,전체 170,19.03.08,5장
전설 스킬로 인생역전[완결],#천재#레이드#성장#노력#마검사#만능,kwbooks,전체이용가,100원/회차 당,예성,완결,판타지,165.6만,8.8,전체 166,"전체 1,058",19.03.06,31장
예능신이 강림하사[완결],#회귀#전문직#성장#노력#조력자,kwbooks,전체이용가,100원/회차 당,에바트리체,완결,현판,25만,9.5,전체 215,전체 423,19.03.04,20장
0.0000001%의 마왕님,#정통#전쟁#마계#영지#마왕#이능력,디앤씨미디어,전체이용가,100원/회차 당,파란영,완결,판타지,"1,141만",9.9,전체 221,전체 1.3만,19.03.01,15장
독마지로[완결],#정통#복수#생존#천재#노력#성장#정파#사파#검#독,kwbooks,전체이용가,100원/회차 당,오수정,완결,무협,97.9만,9.3,전체 236,전체 643,19.02.28,25장
여름 소나타,#현대로맨스#잔잔물#애잔물#상처남#연하남#다정남#순진녀#상처녀,도서출판 청어람,15세이용가,100원/회차 당,차소희,완결,로맨스,"5,377",8.9,전체 63,전체 3,19.02.27,5장
잠식(부제:위험한남자) [개정판],#나이차커플#갑을관계#신분차이#외유내강#조직/암흑가#현대로맨스#우연한만남#나쁜남자#능글남#소유욕/독점욕#재벌남#카리스마남#절륜남#직진남#오만남,오렌지트랙,15세이용가,200원/회차 당,산마로,완결,로맨스,20.5만,10.0,전체 84,전체 175,19.02.27,5장
블랙아웃,#현대로맨스#사내연애#짝사랑#순정남#능력남#짝사랑남#직진남#능력녀#외유내강#유혹녀#상처녀,코핀커뮤니케이션즈,15세이용가,100원/회차 당,유재희,완결,로맨스,10.2만,10.0,전체 35,전체 23,19.02.26,3장
성진변,#도사#술법#곤륜#권#지존#선계#성장#노력,판오름,전체이용가,100원/회차 당,주홍지,완결,무협,120.7만,9.3,전체 777,"전체 1,243",19.02.26,25장
검술명가 막내아들,#정통#회귀#영웅/신화#성장#검사#마법사#만능#정치가#신#이능력#먼치킨,고렘팩토리,전체이용가,100원/회차 당,황제펭귄,완결,판타지,4.3억,9.7,"전체 1,147",전체 21.6만,19.02.22,5장
내가 키운 S급들,#회귀#시스템,제이플미디어,전체이용가,100원/회차 당,근서,"월, 화, 수, 금 연재",판타지,"4,582.7만",10.0,전체 870,전체 17.9만,19.02.22,0장
아빠가 되었다[완결],#귀환#탑등반#육아#성장,kwbooks,전체이용가,100원/회차 당,여월,완결,판타지,285.1만,9.6,전체 208,"전체 3,352",19.02.21,15장
만렙이 귀환했다 [연재],#귀환#먼치킨,제이플미디어,전체이용가,100원/회차 당,개벽S,완결,판타지,144.8만,9.4,전체 158,"전체 1,076",19.02.20,25장
카인의 흉터 [외전선공개],#현대로맨스#재회물#소유욕/독점욕#능력남#짝사랑남#직진남#외유내강#도도녀#평범녀#철벽녀#삼각관계#금단의관계#신분차이#신파#힐링물,코핀커뮤니케이션즈,15세이용가,100원/회차 당,이보나,완결,로맨스,22.4만,10.0,전체 56,전체 138,19.02.19,5장
히트미[완결],#차원이동#성장#좀비#생존#독#이능력#시스템,kwbooks,15세이용가,100원/회차 당,워리천,완결,판타지,136.4만,8.4,전체 210,"전체 2,399",19.02.19,25장
"연상 연하, 우리 결혼했어요 [단독 선공개]",#현대로맨스#연예계물#첫사랑#다정남#연하남#능력남#짝사랑남#직진남#능력녀#순정녀#다정녀#나이차커플#로맨틱코미디,코핀커뮤니케이션즈,15세이용가,100원/회차 당,다온향,완결,로맨스,49.3만,9.8,전체 68,"전체 4,963",19.02.19,3장
필드의 군주 [완결],#스포츠#기타 스포츠#회귀,스토리위즈,전체이용가,100원/회차 당,브라키오,완결,현판,61.5만,9.5,전체 236,전체 138,19.02.19,29장
레벨이 왜 계속 올라?,#게임#아포칼립스#먼치킨#시스템#조력자#고인물#이능력#초능력,제이플미디어,전체이용가,100원/회차 당,진범,완결,판타지,70.5만,9.2,전체 114,전체 693,19.02.18,25장
박멸의 학살자 [완결],#이능력#초능력#레이드#생존#아포칼립스#시스템#노력#성장#착각,케이너스랩,전체이용가,100원/회차 당,구름커피,완결,판타지,27.6만,7.6,전체 300,전체 366,19.02.18,25장
냄새맡아 인생역전,#성장#천재#먼치킨,에이시스미디어,전체이용가,100원/회차 당,버몬드,완결,현판,289.6만,9.3,전체 228,전체 1만,19.02.15,10장
"입금 완료, S급 용병! [연재]",#먼치킨#군인#전쟁,제이플미디어,전체이용가,100원/회차 당,부릉다라,완결,현판,"1,054.1만",9.8,전체 679,"전체 8,480",19.02.15,25장
리그 오브 쓰론,#착각#성장#깽판#만능#전쟁#시스템#차원이동,kwbooks,전체이용가,100원/회차 당,진짜,완결,판타지,68.1만,9.3,전체 166,전체 906,19.02.13,20장
체인지업 [완결],#야구#스포츠#환생,제이플미디어,전체이용가,100원/회차 당,서은결,완결,현판,288.6만,9.4,전체 205,"전체 1,680",19.02.13,21장
더러워서 내가 키운다 [완결],#매니저,엠스토리허브,전체이용가,100원/회차 당,영화보는곰,완결,현판,30.8만,9.7,전체 200,전체 435,19.02.11,25장
깨물어 주세요,#현대로맨스#동거물#상처남#소유욕/독점욕#절륜남#집착남#냉정남#무심남#평범녀#상처녀#금단의관계,코핀커뮤니케이션즈,15세이용가,100원/회차 당,이솔,완결,로맨스,1.9만,10.0,전체 35,전체 10,19.02.11,2장
악마의 주머니를 털어라,#차원이동#천재#성장#망나니#환생#깽판#영웅/신화#서포터,kwbooks,전체이용가,100원/회차 당,은밀히,완결,판타지,530.7만,9.8,전체 243,"전체 7,728",19.04.25,0장
